Molecule ChEMBL ID,Molecule Name,Molecular Weight,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Assay Description,Target ChEMBL ID,Target Name,Target Organism,Document ChEMBL ID
CHEMBL3699616,,612.65,6.25,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C(=O)CC(C)(C)C)CC4)cc3OC)ncc2C(F)(F)F)c1,IC50,'=',650.0,nM,6.19,CHEMBL5737212,"Omnia Assay Protocol for Potency Assessment Against EGFR (WT) and EGFR (T790M/L858R) Active Enzymes: Briefly, 10× stocks of EGFR-WT (PV3872) from Invitrogen and EGFR-T790M/L858R (40350) from BPS Bioscience, San Diego, Calif., 1.13×ATP (AS001A) and appropriate Tyr-Sox conjugated peptide substrates (KCZ1001) were prepared in 1× kinase reaction buffer consisting of 20 mM Tris, pH 7.5, 5 mM MgCl2, 1 mM EGTA, 5 mM β-glycerophosphate, 5% glycerol (10× stock, KB002A) and 0.2 mM DTT (DS001A). 5 μL of each enzyme were pre-incubated in a Corning (#3574) 384-well, white, non-binding surface microtiter plate (Corning, N.Y.) for 30 min. at 25° C. with a 0.5 μL volume of 50% DMSO and serially diluted compounds prepared in 50% DMSO. Kinase reactions were started with the addition of 45 μL of the ATP/Tyr-Sox peptide substrate mix and monitored every 71 seconds for 60 minutes at λex360/λem485 in a Synergy4 plate reader from BioTek (Winooski, Vt.). At the conclusion of each assay, progress curves from each well were examined for linear reaction kinetics and fit statistics (R2, 95% confidence interval, absolute sum of squares). Initial velocity (0 minutes to 30 minutes) from each reaction was determined from the slope of a plot of relative fluorescence units vs time (minutes) and then plotted against inhibitor concentration to estimate IC50 from log[Inhibitor] vs Response, Variable Slope model in GraphPad Prism from GraphPad Software (San Diego, Calif.).[EGFR-WT]=5 nM, [ATP]=15 uM, [Y12-Sox]=5 uM (ATP KMapp12 uM); and [EGFR-T790M/L858R]=2.5 nM, [ATP]=20 uM, [Y12-Sox]=5 uM (ATP KMapp20 uM).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5728674
CHEMBL5893452,,515.62,3.54,C=CC(=O)Nc1cc(Nc2ncc3ccc(-c4cnn(C)c4)n3n2)c(OC)cc1N1CCC(N(C)C)CC1,IC50,'=',2.0,nM,8.7,CHEMBL5731383,"ssay of Inhibitory Activity on Wild Type EGFR and Mutant EGFR Kinase: All reagents used in the following z′-lyte assay were purchased from Invitrogen.The inhibitory activity on T790M/L858R double mutant EGFR kinase (Invitrogen, PV4879) and wild-type EGFR kinase (Invitrogen, PV3872) were determined by the z′-lyte assay.The working concentrations of each component in 10 μL T790M/L858R kinase reaction system were: 25 μM ATP, 0.1 ng/μL T790M/L858R kinase, 2 μM Tyr04 substrate (Invitrogen, PV3193). The concentration of DMSO after addition of the compound prepared in the above examples of the present invention (i.e., the compound to be tested) was 2 vol %.The working concentrations of each component in 10 μL wild-type EGFR kinase reaction system were: 10 μM ATP, 0.8 ng/μL wild-type EGFR kinase, 2 μM Tyr04 substrate (Invitrogen, PV3193). The concentration of DMSO after addition of the compound to be tested was 2 vol %.10 mM drug stock solution was dissolved at room temperature and gradiently diluted to a final concentration of 4-0.002 μM with 8 vol % DMSO solution. 2.5 μL of the solution of the compound to be tested and 5 μL of the mixture of T790M/L858R kinase (or wild-type EGFR kinase) and Tyr04 substrate diluted with the reaction buffer were added to each well. Then 2.5 μl of ATP was added to initiate the reaction. Wherein, ATP was replaced by the reaction buffer in well C1, no drug was added to well C2, and the phosphorylated substrate was added to well C3 according to the instructions. The mixture was allowed to react at 25° C. in a shaker in dark for 60 min. 5 μL of Development Reagent B (Invitrogen, diluted with TR-FRET dilution buffer) was added and allowed to react at room temperature in the shaker for 60 minutes. The plate was read on a Victor X5 plate reader (PerkinElmer) and the absorbance was measured at excitation wavelengths of 405 nm and emission wavelengths of 450 nm and 520 nm (for example, C3520 nrn indicates the absorbance for well C3 at 520 nm).The inhibition rate was calculated according to the following method (refer to the instructions of Invitrogen, PV3193):1. ER=Coumarin Emission (450 nm)/Fluorescein Emission (520 nm)2. Phosphorylation ratio=(1−(ER×C3520 nm−C3450 nm)/((C1450 nm−C3450 nm)+ER×(C3520 nm−C1520 nm))))×100%3. Inhibition ratio (IR)=(1−(phosphorylation ratio of the test compound)/(phosphorylation ratio of C2))×100%The half-inhibitory concentration IC50 was obtained through fitting calculation by using XLFIT 5.0 software (IDBS, UK).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5725729
CHEMBL5989430,,489.62,4.56,C=CC(=O)Nc1cc(Nc2ncc3ccc(C4=CCCCC4)n3n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',9.0,nM,8.05,CHEMBL5731384,"ssay of Inhibitory Activity on Wild Type EGFR and Mutant EGFR Kinase: All reagents used in the following z′-lyte assay were purchased from Invitrogen.The inhibitory activity on T790M/L858R double mutant EGFR kinase (Invitrogen, PV4879) and wild-type EGFR kinase (Invitrogen, PV3872) were determined by the z′-lyte assay.The working concentrations of each component in 10 μL T790M/L858R kinase reaction system were: 25 μM ATP, 0.1 ng/μL T790M/L858R kinase, 2 μM Tyr04 substrate (Invitrogen, PV3193). The concentration of DMSO after addition of the compound prepared in the above examples of the present invention (i.e., the compound to be tested) was 2 vol %.The working concentrations of each component in 10 μL wild-type EGFR kinase reaction system were: 10 μM ATP, 0.8 ng/μL wild-type EGFR kinase, 2 μM Tyr04 substrate (Invitrogen, PV3193). The concentration of DMSO after addition of the compound to be tested was 2 vol %.10 mM drug stock solution was dissolved at room temperature and gradiently diluted to a final concentration of 4-0.002 μM with 8 vol % DMSO solution. 2.5 μL of the solution of the compound to be tested and 5 μL of the mixture of T790M/L858R kinase (or wild-type EGFR kinase) and Tyr04 substrate diluted with the reaction buffer were added to each well. Then 2.5 μl of ATP was added to initiate the reaction. Wherein, ATP was replaced by the reaction buffer in well C1, no drug was added to well C2, and the phosphorylated substrate was added to well C3 according to the instructions. The mixture was allowed to react at 25° C. in a shaker in dark for 60 min. 5 μL of Development Reagent B (Invitrogen, diluted with TR-FRET dilution buffer) was added and allowed to react at room temperature in the shaker for 60 minutes. The plate was read on a Victor X5 plate reader (PerkinElmer) and the absorbance was measured at excitation wavelengths of 405 nm and emission wavelengths of 450 nm and 520 nm (for example, C3520 nrn indicates the absorbance for well C3 at 520 nm).The inhibition rate was calculated according to the following method (refer to the instructions of Invitrogen, PV3193):1. ER=Coumarin Emission (450 nm)/Fluorescein Emission (520 nm)2. Phosphorylation ratio=(1−(ER×C3520 nm−C3450 nm)/((C1450 nm−C3450 nm)+ER×(C3520 nm−C1520 nm))))×100%3. Inhibition ratio (IR)=(1−(phosphorylation ratio of the test compound)/(phosphorylation ratio of C2))×100%The half-inhibitory concentration IC50 was obtained through fitting calculation by using XLFIT 5.0 software (IDBS, UK).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5725729
CHEMBL5988665,,485.59,4.27,C=CC(=O)Nc1cc(Nc2ncc3ccc(-c4ccccc4)n3n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.4,nM,8.62,CHEMBL5731383,"ssay of Inhibitory Activity on Wild Type EGFR and Mutant EGFR Kinase: All reagents used in the following z′-lyte assay were purchased from Invitrogen.The inhibitory activity on T790M/L858R double mutant EGFR kinase (Invitrogen, PV4879) and wild-type EGFR kinase (Invitrogen, PV3872) were determined by the z′-lyte assay.The working concentrations of each component in 10 μL T790M/L858R kinase reaction system were: 25 μM ATP, 0.1 ng/μL T790M/L858R kinase, 2 μM Tyr04 substrate (Invitrogen, PV3193). The concentration of DMSO after addition of the compound prepared in the above examples of the present invention (i.e., the compound to be tested) was 2 vol %.The working concentrations of each component in 10 μL wild-type EGFR kinase reaction system were: 10 μM ATP, 0.8 ng/μL wild-type EGFR kinase, 2 μM Tyr04 substrate (Invitrogen, PV3193). The concentration of DMSO after addition of the compound to be tested was 2 vol %.10 mM drug stock solution was dissolved at room temperature and gradiently diluted to a final concentration of 4-0.002 μM with 8 vol % DMSO solution. 2.5 μL of the solution of the compound to be tested and 5 μL of the mixture of T790M/L858R kinase (or wild-type EGFR kinase) and Tyr04 substrate diluted with the reaction buffer were added to each well. Then 2.5 μl of ATP was added to initiate the reaction. Wherein, ATP was replaced by the reaction buffer in well C1, no drug was added to well C2, and the phosphorylated substrate was added to well C3 according to the instructions. The mixture was allowed to react at 25° C. in a shaker in dark for 60 min. 5 μL of Development Reagent B (Invitrogen, diluted with TR-FRET dilution buffer) was added and allowed to react at room temperature in the shaker for 60 minutes. The plate was read on a Victor X5 plate reader (PerkinElmer) and the absorbance was measured at excitation wavelengths of 405 nm and emission wavelengths of 450 nm and 520 nm (for example, C3520 nrn indicates the absorbance for well C3 at 520 nm).The inhibition rate was calculated according to the following method (refer to the instructions of Invitrogen, PV3193):1. ER=Coumarin Emission (450 nm)/Fluorescein Emission (520 nm)2. Phosphorylation ratio=(1−(ER×C3520 nm−C3450 nm)/((C1450 nm−C3450 nm)+ER×(C3520 nm−C1520 nm))))×100%3. Inhibition ratio (IR)=(1−(phosphorylation ratio of the test compound)/(phosphorylation ratio of C2))×100%The half-inhibitory concentration IC50 was obtained through fitting calculation by using XLFIT 5.0 software (IDBS, UK).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5725729
CHEMBL298637,,330.19,3.57,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,IC50,'=',52.0,nM,7.28,CHEMBL680021,Inhibitory potency against isolated epidermal growth factor receptor (EGFR) from human A431 carcinoma cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1129564
CHEMBL2437476,,414.43,3.05,C=CC(=O)Nc1cccc(Nc2ncc3ncc(=O)n(-c4ccc(OC)cc4)c3n2)c1,IC50,'=',1200.0,nM,5.92,CHEMBL5730755,"EGFR kinase assay: In vitro enzyme activity assay: wild-type and various mutants (T790M, L858R, L861Q, L858 R/T790M) EGFR, Z′-Lyte Kinase Assay Kit were purchased from Invitrogen. 10 concentration gradients, from 5.1×10−11 mol/L to 1.0×10−6 mol/L, were set for all of the compounds to be tested. Concentrations of different kinases were determined based on the optimization of experiment, and the corresponding concentrations were: EGFR (PV3872, Invitrogen) 0.287 μg/μL, EGFR-T790M (PV4803, Invitrogen) 0.174 μg/μL, EGFR-L858R (PV4128, Invitrogen) 0.054 μg/μL, EGFR-L858R/T790M (PV4879, Invitrogen) 0.055 μg/μL. Compounds were diluted for 3 times in DMSO from 5.1×10−9 M to 1×10−4 M. 4 μL of compound was dissolved in 96 μL of water, to give a 4× compound solution. 40 μM ATP was dissolved in 1.33× kinase buffer, and a kinase/peptide mixture comprising 2× kinase, 4 μM tyrosine and four peptides was prepared for use. 10 μL of kinase reaction system comprised 2.5 μL of compound solution, 5 μL of Kinase/peptide mixture, and 2.5 μL of ATP solution. 5 μL of phosphopeptide solution was used in place of kinase/peptide mixture as 100% phosphorylation control. 2.5 μL of 1.33× kinase buffer was used to replace ATP solution as 100% inhibition control, and 2.5 μL of 4% DMSO solution was used to replace compound solution as 0% inhibition control. After thoroughly mixing the solution within the plate, the plate was incubated at room temperature for 1.5 hours. 5 μL of DevelopmentSolution was added into each well, and then the plate was incubated at room temperature for another 1 hour, and non-phosphorylated peptide was cleaved within this period. Finally, the reaction was quenched by adding 5 μL of Stop Reagent. The Plate was measured with EnVision Multilabel Reader (Perkin Elmer). Experimental data were calculated by using GraphPad Prism version 4.0.",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5725214
CHEMBL5855771,,512.56,3.16,C=CC(=O)N1CC(Nc2nc(Nc3ccc(N4CCOCC4)c(F)c3)c3c(c2F)CNC3=O)CCC1C,IC50,'=',7171.0,nM,5.14,CHEMBL5737421,"Kinase Inhibition Assay: EGFR: The working concentration of each component in 10 μl wild-type EGFR kinase reaction system was: 10 μM ATP, 0.8 ng/μl wild-type EGFR kinase (Invitrogen, PV3872), 2 μM Tyr04 substrate (Invitrogen, PV3193). After the compounds to be tested were added, the final concentration of DMSO was 2%. 10 mM drug stock solutions dissolved at room temperature were gradiently diluted with 4% DMSO in water to a final concentrations of 10-0.005 μM. To each well were added 2.5 μl of a solution of the test compounds and 5 μl of a mixture of wild-type EGFR kinase and Tyr04 substrate diluted by a reaction buffer, and then 2.5 μl of ATP was added to initiate the reaction. Reaction buffer instead of ATP were added to C1 wells, no drugs were added to C2 wells, and the phosphorylated substrates were added to C3 wells according to the instruction. After shaking on a shaker at 25° C. for 60 minutes in the dark, 5 μl of Development Reagent B (Invitrogen, diluted with TR-FRET dilution buffer) was added, and reacted on a shaking table at room temperature for 60 min. The plates were read in a VictorX5 fluorescent microplate reader (PerkinElmer) and the light absorbance at an excitation wavelength of 405 nm and emission wavelengths of 450 nm and 520 nm was measured (For example, C3520nm represents the reading of C3 well at 520 nm).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5728771
CHEMBL3219129,,598.71,3.88,C=CC(=O)Nc1cccc(N2C(=O)C(C(C)C)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,IC50,'=',56.49,nM,7.25,CHEMBL3223693,Inhibition of EGFR kinase L858R mutant (unknown origin) after 1.5 hrs by FRET-based Z'-Lyte assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3217539
CHEMBL3219127,,596.69,3.78,C=CC(=O)Nc1cccc(N2C(=O)C3CCCCN3C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,IC50,'=',2.74,nM,8.56,CHEMBL3223694,Inhibition of EGFR kinase L861Q mutant (unknown origin) after 1.5 hrs by FRET-based Z'-Lyte assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3217539
CHEMBL5741005,,409.42,4.24,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3)ncc2F)c1,IC50,'=',550.0,nM,6.26,CHEMBL5738142,"Omnia Assay: Briefly, 10x stocks of EGFR-WT (PV3872) from Invitrogen and EGFR-T790M/L858R (40350) from BPS Bioscience, San Diego, Calif., 1.13×ATP (AS001A) and appropriate Tyr-Sox conjugated peptide substrates (KCZ1001) were prepared in 1× kinase reaction buffer consisting of 20 mM Tris, pH 7.5, 5 mM MgCl2, 1 mM EGTA, 5 mM β-glycerophosphate, 5% glycerol (10× stock, KB002A) and 0.2 mM DTT (DS001A). 5 μL of each enzyme were pre-incubated in a Corning (#3574) 384-well, white, non-binding surface microtiter plate (Corning, N.Y.) for 30 min. at 27° C. with a 0.5 μL volume of 50% DMSO and serially diluted compounds prepared in 50% DMSO. Kinase reactions were started with the addition of 45 μL of the ATP/Tyr-Sox peptide substrate mix and monitored every 30-90 seconds for 60 minutes at λex360/λem485 in a Synergy4 plate reader from BioTek (Winooski, Vt.). At the conclusion of each assay, progress curves from each well were examined for linear reaction kinetics and fit statistics (R2, 95% confidence interval, absolute sum of squares). Initial velocity (0 minutes to 30 minutes) from each reaction was determined from the slope of a plot of relative fluorescence units vs time (minutes) and then plotted against inhibitor concentration to estimate IC50 from log[Inhibitor] vs Response, Variable Slope model in GraphPad Prism from GraphPad Software (San Diego, Calif.).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5729139
CHEMBL5837449,,445.52,4.99,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2C2CC2)c1,IC50,'=',550.0,nM,6.26,CHEMBL5738142,"Omnia Assay: Briefly, 10x stocks of EGFR-WT (PV3872) from Invitrogen and EGFR-T790M/L858R (40350) from BPS Bioscience, San Diego, Calif., 1.13×ATP (AS001A) and appropriate Tyr-Sox conjugated peptide substrates (KCZ1001) were prepared in 1× kinase reaction buffer consisting of 20 mM Tris, pH 7.5, 5 mM MgCl2, 1 mM EGTA, 5 mM β-glycerophosphate, 5% glycerol (10× stock, KB002A) and 0.2 mM DTT (DS001A). 5 μL of each enzyme were pre-incubated in a Corning (#3574) 384-well, white, non-binding surface microtiter plate (Corning, N.Y.) for 30 min. at 27° C. with a 0.5 μL volume of 50% DMSO and serially diluted compounds prepared in 50% DMSO. Kinase reactions were started with the addition of 45 μL of the ATP/Tyr-Sox peptide substrate mix and monitored every 30-90 seconds for 60 minutes at λex360/λem485 in a Synergy4 plate reader from BioTek (Winooski, Vt.). At the conclusion of each assay, progress curves from each well were examined for linear reaction kinetics and fit statistics (R2, 95% confidence interval, absolute sum of squares). Initial velocity (0 minutes to 30 minutes) from each reaction was determined from the slope of a plot of relative fluorescence units vs time (minutes) and then plotted against inhibitor concentration to estimate IC50 from log[Inhibitor] vs Response, Variable Slope model in GraphPad Prism from GraphPad Software (San Diego, Calif.).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5729139
CHEMBL5942546,,484.51,3.39,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)N(S(C)(=O)=O)CCO4)ncc2F)c1,IC50,'=',550.0,nM,6.26,CHEMBL5738142,"Omnia Assay: Briefly, 10x stocks of EGFR-WT (PV3872) from Invitrogen and EGFR-T790M/L858R (40350) from BPS Bioscience, San Diego, Calif., 1.13×ATP (AS001A) and appropriate Tyr-Sox conjugated peptide substrates (KCZ1001) were prepared in 1× kinase reaction buffer consisting of 20 mM Tris, pH 7.5, 5 mM MgCl2, 1 mM EGTA, 5 mM β-glycerophosphate, 5% glycerol (10× stock, KB002A) and 0.2 mM DTT (DS001A). 5 μL of each enzyme were pre-incubated in a Corning (#3574) 384-well, white, non-binding surface microtiter plate (Corning, N.Y.) for 30 min. at 27° C. with a 0.5 μL volume of 50% DMSO and serially diluted compounds prepared in 50% DMSO. Kinase reactions were started with the addition of 45 μL of the ATP/Tyr-Sox peptide substrate mix and monitored every 30-90 seconds for 60 minutes at λex360/λem485 in a Synergy4 plate reader from BioTek (Winooski, Vt.). At the conclusion of each assay, progress curves from each well were examined for linear reaction kinetics and fit statistics (R2, 95% confidence interval, absolute sum of squares). Initial velocity (0 minutes to 30 minutes) from each reaction was determined from the slope of a plot of relative fluorescence units vs time (minutes) and then plotted against inhibitor concentration to estimate IC50 from log[Inhibitor] vs Response, Variable Slope model in GraphPad Prism from GraphPad Software (San Diego, Calif.).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5729139
CHEMBL5964825,,445.38,5.11,C=C(C#N)C(O)c1cccc(Nc2nc(Nc3cccc(OC(F)(F)F)c3)ncc2F)c1,IC50,'=',1050.0,nM,5.98,CHEMBL5738142,"Omnia Assay: Briefly, 10x stocks of EGFR-WT (PV3872) from Invitrogen and EGFR-T790M/L858R (40350) from BPS Bioscience, San Diego, Calif., 1.13×ATP (AS001A) and appropriate Tyr-Sox conjugated peptide substrates (KCZ1001) were prepared in 1× kinase reaction buffer consisting of 20 mM Tris, pH 7.5, 5 mM MgCl2, 1 mM EGTA, 5 mM β-glycerophosphate, 5% glycerol (10× stock, KB002A) and 0.2 mM DTT (DS001A). 5 μL of each enzyme were pre-incubated in a Corning (#3574) 384-well, white, non-binding surface microtiter plate (Corning, N.Y.) for 30 min. at 27° C. with a 0.5 μL volume of 50% DMSO and serially diluted compounds prepared in 50% DMSO. Kinase reactions were started with the addition of 45 μL of the ATP/Tyr-Sox peptide substrate mix and monitored every 30-90 seconds for 60 minutes at λex360/λem485 in a Synergy4 plate reader from BioTek (Winooski, Vt.). At the conclusion of each assay, progress curves from each well were examined for linear reaction kinetics and fit statistics (R2, 95% confidence interval, absolute sum of squares). Initial velocity (0 minutes to 30 minutes) from each reaction was determined from the slope of a plot of relative fluorescence units vs time (minutes) and then plotted against inhibitor concentration to estimate IC50 from log[Inhibitor] vs Response, Variable Slope model in GraphPad Prism from GraphPad Software (San Diego, Calif.).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5729139
CHEMBL5769228,,540.57,4.66,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(O[C@@H](C)COC(=O)[C@@H](N)C(C)C)c(F)c3)ncc2F)c1,IC50,'=',550.0,nM,6.26,CHEMBL5738142,"Omnia Assay: Briefly, 10x stocks of EGFR-WT (PV3872) from Invitrogen and EGFR-T790M/L858R (40350) from BPS Bioscience, San Diego, Calif., 1.13×ATP (AS001A) and appropriate Tyr-Sox conjugated peptide substrates (KCZ1001) were prepared in 1× kinase reaction buffer consisting of 20 mM Tris, pH 7.5, 5 mM MgCl2, 1 mM EGTA, 5 mM β-glycerophosphate, 5% glycerol (10× stock, KB002A) and 0.2 mM DTT (DS001A). 5 μL of each enzyme were pre-incubated in a Corning (#3574) 384-well, white, non-binding surface microtiter plate (Corning, N.Y.) for 30 min. at 27° C. with a 0.5 μL volume of 50% DMSO and serially diluted compounds prepared in 50% DMSO. Kinase reactions were started with the addition of 45 μL of the ATP/Tyr-Sox peptide substrate mix and monitored every 30-90 seconds for 60 minutes at λex360/λem485 in a Synergy4 plate reader from BioTek (Winooski, Vt.). At the conclusion of each assay, progress curves from each well were examined for linear reaction kinetics and fit statistics (R2, 95% confidence interval, absolute sum of squares). Initial velocity (0 minutes to 30 minutes) from each reaction was determined from the slope of a plot of relative fluorescence units vs time (minutes) and then plotted against inhibitor concentration to estimate IC50 from log[Inhibitor] vs Response, Variable Slope model in GraphPad Prism from GraphPad Software (San Diego, Calif.).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5729139
CHEMBL5851917,,589.04,6.47,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C(F)(F)F)c2c1)C1=CN(C2(C)CC2)NN1,IC50,'=',2.0,nM,8.7,CHEMBL5736995,"High Throughput Biochemical Assay: EGFR activity was measured using KinEASE (Cisbio), a time-resolved fluorescence resonance energy transfer (TR-FRET) immunoassay. In this assay, EGFR-catalyzes the phosphorylation of a universal Tyrosine kinase peptide substrate labeled with XL665. Europium conjugated phosphor-tyrosine specific antibody binds the resulting phosphorylated peptide. Formation of phosphorylated peptide is quantified by TR-FRET with Europium as the donor and XL665 the acceptor. The assay was performed in two main steps. The first step is the kinase reaction step and the second step is the detection step with TR-FRET reagents. In brief, test compounds 1:3 serially diluted in DMSO were delivered into Corning white, low volume, non-binding 384 well plates using the Echo 550 acoustic liquid dispenser (Labcyte®). EGFR enzyme (Human EGFR, cytoplasmic domain [669-1210] from Carna Biosciences Cat. No. 08-115) and substrates TK substrate-biotin (included in Cisbio HTRF KinEASE-TK kit Cat. No. 62TK0PEJ) were dispensed into assay plates using a Multi-Flo (Bio-Tek Instruments). The standard 10 μL reaction mixture contained 6 μM ATP (1×Km) or 12 μM ATP (2×Km), 1 μM biotinylated peptide, 0.3 nM EGFR (for 1×Km ATP) or 0.1 nM EGFR (for 2×Km ATP) in reaction buffer (10 mM MOPs, pH 7.0, 1.5% Glycerol, 0.5 mg/ml BSA, 10 mM Mg-Acetate, 1 mM DTT, 0.025% NP-40). After 60 min of incubation at room temperature, 10 μL of Stop and Detect Solution (1:400 Europium Cryptate labeled anti-phosphorylated peptide antibody solution and 125 nM strepavidin-XL665 Tracer in a 50 mM Hepes pH 7.0 detection buffer containing sufficient EDTA) was added. The plate was then further incubated for over 60 minutes at room temperature and read using an Envision 2103 Multilabeled reader (PerkinElmer) with excitation/emission/FRET emission at 340 nm/615 nm/665 nm, respectively.",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5728555
CHEMBL5947149,,507.6,4.02,C=CC(=O)Nc1cccc(-c2cccc3cnc(Nc4ccc(N5CCN(C)CC5)c(C(N)=O)c4)nc23)c1,IC50,'=',300.0,nM,6.52,CHEMBL5737993,"Inhibitory Activity Assay: EGFR: The 2×EGFR (ErbB1)/Tyr 04 mixture is prepared in 50 mM HEPES pH 7.5, 0.01% BRIJ-35, 10 mM MgCl2, 4 mM MnCl2, 1 mM EGTA, 2 mM DTT. The final 10 μL Kinase Reaction consists of 1.1-5.25 ng EGFR (ErbB1) and 2 μM Tyr 04 in 50 mM HEPES pH 7.5, 0.01% BRIJ-35, 10 mM MgCl2, 2 mM MnCl2, 1 mM EGTA, 1 mM DTT. After the 1 hour Kinase Reaction incubation, 5 μL of a 1:64 dilution of Development Reagent B is added.",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5729062
CHEMBL39355,,467.37,4.21,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,IC50,'=',8.8,nM,8.06,CHEMBL677389,Inhibition of the phosphorylation of a random polyglutamic acid/tyrosine copolymer by human epidermal growth factor receptor(EGFR) prepared from human A431 carcinoma cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1130030
CHEMBL5971757,,824.84,3.24,O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCOCC#Cc4cccc5c4C(=O)N([C@@H](C(=O)Nc4nccs4)c4cc(F)ccc4O)C5)c3C2=O)C(=O)N1,IC50,'=',27000.0,nM,4.57,CHEMBL5736754,"TR-FRET Assay for ERBB Kinases: All compounds and PROTACs were serially diluted in three-fold increments using 100% DMSO, followed by an intermediate 10-fold dilution using Buffer A (50 mM HEPES, pH 7.5, 50 mM NaCl, 10 mM MgCl2, 1 mM DTT, and 0.1% Pluronic F-68). Two microliters of serially diluted compound or PROTAC were then transferred to black 384-well Proxiplates (PerkinElmer, #6008260) using an Integra Viaflo96. Next, 10 uL of protein kinase in Buffer A was added to each well of the assay plate and pre-incubated with compound for 10 minutes. Kinase reactions were then initiated by addition of 5 uL substrate mix containing 3 mM ATP and 30 uM fluorescein-labeled Poly-GluTyr (Thermo Fisher, #PV3610) in Buffer A and allowed to proceed for 10 minutes at room temperature. Reactions were quenched by addition of a 5 uL mixture containing 5 nM LanthaScreen® Tb-pY20 Antibody (Thermo Fisher, #PV3552) and 40 mM EDTA in Buffer A. Assay plates were then read using a Synergy2 (Biotek Instruments, Winooski, Vt.) via excitation thru a 340/20 nm bandpass filter and emission collected thru 490/10 nm (donor) and 520/25 nm (acceptor) bandpass filters. The final kinase concentrations used for each 15 uL reaction were as follows: 0.2 nM EGFR Exon20NPG (SignalChem, #E10-132GG), 0.1 nM wild type EGFR (BPS Bioscience, #40187), 0.3 nM EGFR L858R/T790M/C797S (BPS Bioscience, #40351), 0.1 nM EGFR L858R (BPS Bioscience, #40189), 0.4 nM L858R/T790M (BPS Bioscience, #40350), InM EGFR Dell9 (SignalChem, #E10-122JG), 10 nM EGFR Dell9 T790M (SignalChem, #E10-122KG), 0.3 nM Her2 (BPS Bioscience, #40230), 15 nM Her2 InsYVMA (SignalChem, #E27-13BG).",CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL5728438
